Algorithm,Group Size,Operation,mean,std
AES-GCM,5,add,0.2119199998560361,0.018482073231324964
AES-GCM,5,remove,0.17672000030870544,0.0282408757537916
AES-GCM,50,add,3.7582200013275724,0.12708663229392794
AES-GCM,50,remove,3.5424400004558265,0.10771616888761865
AES-GCM,100,add,15.022999999200692,0.7357382970484093
AES-GCM,100,remove,14.4862600012857,0.48529975515472334
AES-GCM,1000,add,1679.2682399995101,12.503906364606152
AES-GCM,1000,remove,1714.2876400001114,24.66599976073906
AES-GCM,10000,add,197954.266620001,1608.8153179091898
AES-GCM,10000,remove,197576.98146867746,1494.623639077344
DoubleRatchet,5,add,1.483219999136054,0.07075402433165578
DoubleRatchet,5,remove,0.10948000017378942,0.009158984715567921
DoubleRatchet,50,add,11.889080000037211,0.2479154842556457
DoubleRatchet,50,remove,0.35234000024502166,0.012602697952317282
DoubleRatchet,100,add,24.667179999960354,1.247396387043907
DoubleRatchet,100,remove,0.8689599999343045,0.03926478028446841
DoubleRatchet,1000,add,833.5540399995807,103.98718394201238
DoubleRatchet,1000,remove,86.6913800004113,21.6933253045517
DoubleRatchet,10000,add,8866.842940000424,892.5434920903853
DoubleRatchet,10000,remove,127.54570000033709,56.24953899475394
Hybrid,5,add,788.7968199996976,451.6783761546076
Hybrid,5,remove,4.456539999227971,0.9909765362932561
Hybrid,50,add,778.4318400001212,284.3721270718565
Hybrid,50,remove,32.52956000069389,1.3077331346575989
Hybrid,100,add,1259.8276600001554,605.3085767477316
Hybrid,100,remove,67.06258000122034,4.9629879278554
Hybrid,1000,add,2046.9158599989896,858.3244019511748
Hybrid,1000,remove,612.5647000000754,3.457525435061545
Hybrid,10000,add,8125.166820000595,1162.9079594119185
Hybrid,10000,remove,6315.993380000145,52.16115280167207
RatchetTree,5,add,0.4003999999440566,0.02111172652563842
RatchetTree,5,remove,0.32905999999267804,0.0303717467767593
RatchetTree,50,add,1.8496600000162289,0.11558128314195425
RatchetTree,50,remove,1.7324000000826345,0.0637255444118837
RatchetTree,100,add,3.684880000037083,0.3648580642246368
RatchetTree,100,remove,4.678219999950306,1.566524473795048
RatchetTree,1000,add,33.34724000001188,2.6123686901506114
RatchetTree,1000,remove,46.29447999996046,18.979808906165832
RatchetTree,10000,add,347.2872999999254,44.66357383077754
RatchetTree,10000,remove,334.3699999999899,27.01600734350689
TreeKEM,5,add,480.619040000056,150.31087069403122
TreeKEM,5,remove,483.9715000000979,137.63289827153812
TreeKEM,50,add,822.9067200000827,159.47995090190884
TreeKEM,50,remove,800.3728400001819,164.45031214722306
TreeKEM,100,add,965.8967199999097,175.82136416600022
TreeKEM,100,remove,915.1596199998494,139.20309402307095
TreeKEM,1000,add,1284.680059999937,226.01389067050488
TreeKEM,1000,remove,1308.3932399999867,163.53713401412398
TreeKEM,10000,add,2030.368279999675,357.6485169123569
TreeKEM,10000,remove,1771.3787199998478,137.67977471540942
